v,omega,x,y,phi,xr,yr,phir,delta
-0.0644,-0.0478,83.7903,0.9097,-0.0375,84.0993,0.8494,-0.0527,-0.0253
-0.0642,-0.0476,83.8902,0.9047,-0.0384,84.1993,0.8441,-0.0536,-0.0252
-0.0639,-0.0474,83.9901,0.8995,-0.0394,84.2993,0.8387,-0.0544,-0.0251
-0.0636,-0.0472,84.0899,0.8943,-0.0403,84.3993,0.8332,-0.0552,-0.0250
-0.0633,-0.0469,84.1898,0.8890,-0.0412,84.4993,0.8276,-0.0561,-0.0248
-0.0630,-0.0467,84.2897,0.8836,-0.0422,84.5993,0.8220,-0.0569,-0.0247
-0.0628,-0.0465,84.3895,0.8782,-0.0431,84.6993,0.8162,-0.0577,-0.0246
-0.0624,-0.0463,84.4894,0.8726,-0.0441,84.7993,0.8104,-0.0585,-0.0245
-0.0621,-0.0461,84.5892,0.8669,-0.0450,84.8993,0.8045,-0.0593,-0.0243
-0.0618,-0.0458,84.6891,0.8612,-0.0459,84.9993,0.7985,-0.0601,-0.0242
-0.0615,-0.0456,84.7889,0.8554,-0.0468,85.0993,0.7925,-0.0609,-0.0241
-0.0612,-0.0453,84.8887,0.8495,-0.0477,85.1993,0.7863,-0.0617,-0.0239
-0.0608,-0.0451,84.9886,0.8435,-0.0486,85.2993,0.7801,-0.0625,-0.0238
-0.0605,-0.0449,85.0884,0.8374,-0.0495,85.3993,0.7738,-0.0633,-0.0237
-0.0602,-0.0446,85.1882,0.8312,-0.0504,85.4993,0.7674,-0.0640,-0.0235
-0.0598,-0.0443,85.2880,0.8250,-0.0513,85.5993,0.7610,-0.0648,-0.0234
-0.0594,-0.0441,85.3878,0.8187,-0.0522,85.6993,0.7545,-0.0655,-0.0232
-0.0591,-0.0438,85.4876,0.8123,-0.0531,85.7993,0.7479,-0.0663,-0.0231
-0.0587,-0.0435,85.5874,0.8058,-0.0540,85.8993,0.7412,-0.0670,-0.0229
-0.0583,-0.0432,85.6872,0.7992,-0.0548,85.9993,0.7344,-0.0678,-0.0228
-0.0579,-0.0430,85.7870,0.7926,-0.0557,86.0993,0.7276,-0.0685,-0.0226
-0.0576,-0.0427,85.8868,0.7858,-0.0566,86.1993,0.7207,-0.0692,-0.0225
-0.0572,-0.0424,85.9866,0.7790,-0.0574,86.2993,0.7138,-0.0699,-0.0223
-0.0568,-0.0421,86.0863,0.7722,-0.0583,86.3993,0.7067,-0.0706,-0.0221
-0.0564,-0.0418,86.1861,0.7652,-0.0591,86.4993,0.6996,-0.0713,-0.0220
-0.0560,-0.0415,86.2858,0.7582,-0.0599,86.5993,0.6924,-0.0720,-0.0218
-0.0555,-0.0412,86.3856,0.7511,-0.0608,86.6992,0.6852,-0.0727,-0.0216
-0.0551,-0.0409,86.4854,0.7439,-0.0616,86.7992,0.6779,-0.0734,-0.0215
-0.0547,-0.0406,86.5851,0.7366,-0.0624,86.8992,0.6705,-0.0741,-0.0213
-0.0543,-0.0402,86.6848,0.7293,-0.0632,86.9992,0.6630,-0.0747,-0.0211
-0.0538,-0.0399,86.7846,0.7219,-0.0640,87.0992,0.6555,-0.0754,-0.0209
-0.0534,-0.0396,86.8843,0.7144,-0.0648,87.1992,0.6479,-0.0760,-0.0207
-0.0529,-0.0393,86.9840,0.7069,-0.0656,87.2992,0.6403,-0.0767,-0.0206
-0.0525,-0.0389,87.0837,0.6993,-0.0664,87.3992,0.6326,-0.0773,-0.0204
-0.0520,-0.0386,87.1834,0.6916,-0.0672,87.4992,0.6248,-0.0779,-0.0202
-0.0515,-0.0382,87.2831,0.6838,-0.0680,87.5992,0.6169,-0.0785,-0.0200
-0.0511,-0.0379,87.3828,0.6760,-0.0687,87.6992,0.6090,-0.0791,-0.0198
-0.0506,-0.0375,87.4825,0.6681,-0.0695,87.7992,0.6011,-0.0797,-0.0196
-0.0501,-0.0372,87.5822,0.6602,-0.0702,87.8992,0.5931,-0.0803,-0.0194
-0.0496,-0.0368,87.6819,0.6521,-0.0710,87.9992,0.5850,-0.0809,-0.0192
-0.0491,-0.0365,87.7816,0.6441,-0.0717,88.0992,0.5768,-0.0815,-0.0190
-0.0487,-0.0361,87.8813,0.6359,-0.0724,88.1992,0.5686,-0.0821,-0.0188
-0.0482,-0.0357,87.9809,0.6277,-0.0732,88.2992,0.5604,-0.0826,-0.0186
-0.0477,-0.0354,88.0806,0.6194,-0.0739,88.3992,0.5521,-0.0832,-0.0184
-0.0471,-0.0350,88.1802,0.6111,-0.0746,88.4992,0.5437,-0.0837,-0.0182
-0.0466,-0.0346,88.2799,0.6027,-0.0753,88.5992,0.5353,-0.0843,-0.0180
-0.0461,-0.0342,88.3795,0.5943,-0.0760,88.6992,0.5268,-0.0848,-0.0178
-0.0456,-0.0338,88.4792,0.5858,-0.0767,88.7992,0.5183,-0.0853,-0.0176
-0.0451,-0.0334,88.5788,0.5772,-0.0773,88.8992,0.5097,-0.0858,-0.0174
-0.0445,-0.0331,88.6784,0.5686,-0.0780,88.9992,0.5011,-0.0863,-0.0172
-0.0440,-0.0327,88.7781,0.5599,-0.0787,89.0992,0.4924,-0.0868,-0.0170
-0.0435,-0.0323,88.8777,0.5512,-0.0793,89.1992,0.4837,-0.0873,-0.0167
-0.0429,-0.0319,88.9773,0.5424,-0.0800,89.2992,0.4749,-0.0878,-0.0165
-0.0424,-0.0315,89.0769,0.5335,-0.0806,89.3992,0.4661,-0.0882,-0.0163
-0.0418,-0.0310,89.1765,0.5246,-0.0812,89.4992,0.4572,-0.0887,-0.0161
-0.0413,-0.0306,89.2761,0.5157,-0.0819,89.5992,0.4483,-0.0892,-0.0159
-0.0407,-0.0302,89.3757,0.5067,-0.0825,89.6992,0.4393,-0.0896,-0.0156
-0.0401,-0.0298,89.4753,0.4976,-0.0831,89.7992,0.4303,-0.0900,-0.0154
-0.0396,-0.0294,89.5749,0.4885,-0.0837,89.8992,0.4213,-0.0904,-0.0152
-0.0390,-0.0290,89.6745,0.4794,-0.0843,89.9992,0.4122,-0.0909,-0.0149
